date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:29	8267/8267	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-96x96.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-96x96.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:31	3460/3460	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-16x16.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-16x16.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:31	760/760	---M--	200	added ('OK')	application/json	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/manifest.json	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/manifest.json	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:32	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon.ico	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon.ico	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:33	140936/140936	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:33	383/383	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20May%202018%2020:46:20%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/navbar/bootstrap-4-navbar.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/navbar/bootstrap-4-navbar.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:33	71742/71742	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20May%202018%2021:43:06%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/animate/animate.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/animate/animate.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:34	31004/31004	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/fontawesome/css/font-awesome.min.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/fontawesome/css/font-awesome.min.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:34	4198/4198	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20May%202018%2021:43:06%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/owl-carousel/owl.carousel.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/owl-carousel/owl.carousel.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:35	7302/7302	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/magnific/magnific-popup.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/magnific/magnific-popup.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:35	4145/4145	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20May%202018%2021:07:40%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/nice-select/nice-select.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/nice-select/nice-select.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:36	4698/4698	---M-Z	200	added ('OK')	text/css	date:Sun,%2011%20Feb%202018%2020:13:20%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/js-offcanvas/css/js-offcanvas.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/js-offcanvas/css/js-offcanvas.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:36	11318/11318	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2006%20May%202018%2017:01:52%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/modernizr/modernizr-custom.js	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/modernizr/modernizr-custom.js	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:36	82872/82872	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jun%202018%2000:02:10%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/css/style-default.min.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/css/style-default.min.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:37	27891/27891	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/register.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/register.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:37	55631/55631	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/index.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/index-2.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:38	13415/13415	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/logo.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/logo.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:38	34978/34978	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/about.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/about.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:38	29219/29219	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/event.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/event.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:39	37456/37456	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/gallery.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/gallery.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:39	37330/37330	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/blog.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/blog.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:40	25014/25014	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/single-blog.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/single-blog.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:40	24990/24990	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/single-blog-leftsidebar.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/single-blog-leftsidebar.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:40	23175/23175	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/single-blog-withoutsidebar.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/single-blog-withoutsidebar.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:41	24226/24226	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/single-album.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/single-album.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:41	23575/23575	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/committee.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/committee.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:42	27385/27385	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/directory.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/directory.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:42	34717/34717	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/career.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/career.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:43	55949/55949	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/index-offcanvas.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/index-offcanvas.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:43	24157/24157	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/typography.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/typography.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:43	22282/22282	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/contact.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/contact.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:44	31783/31783	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/single-event.html	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/single-event.html	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:47	99991/99991	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2000:01:44%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/event/event-img-1.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/event/event-img-1.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:47	72378/72378	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2000:01:44%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/event/event-img-3.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/event/event-img-3.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:49	7738/7738	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/responsibility/01.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/responsibility/01.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:49	8654/8654	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/responsibility/02.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/responsibility/02.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:49	8353/8353	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/responsibility/03.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/responsibility/03.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:50	12073/12073	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/responsibility/04.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/responsibility/04.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:50	528590/528590	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/about-bg.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/about-bg.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:50	2028/2028	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2021%20May%202018%2017:09:00%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/fun-fact/user.svg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/fun-fact/user.svg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:50	1356/1356	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2021%20May%202018%2017:09:00%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/fun-fact/picture.svg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/fun-fact/picture.svg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:51	2773/2773	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2021%20May%202018%2017:09:00%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/fun-fact/event.svg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/fun-fact/event.svg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:51	163931/163931	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2000:01:44%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/event/event-img-2.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/event/event-img-2.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:51	1909/1909	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2021%20May%202018%2017:09:00%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/fun-fact/medal.svg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/fun-fact/medal.svg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:52	59857/59857	---M--	200	added ('OK')	image/png	date:Thu,%2031%20May%202018%2021:02:42%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/job/compnay-logo-1.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/job/compnay-logo-1.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:52	46684/46684	---M--	200	added ('OK')	image/png	date:Thu,%2031%20May%202018%2021:02:42%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/job/compnay-logo-3.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/job/compnay-logo-3.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:53	29826/29826	---M--	200	added ('OK')	image/png	date:Thu,%2031%20May%202018%2021:02:42%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/job/compnay-logo-2.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/job/compnay-logo-2.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:53	36096/36096	---M--	200	added ('OK')	image/png	date:Thu,%2031%20May%202018%2021:02:42%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/job/compnay-logo-4.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/job/compnay-logo-4.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:54	1218/1218	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/zoom-icon.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/zoom-icon.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:24:01	537322/537322	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20May%202018%2021:02:42%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/gallery/gellary-img-5.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/gallery/gellary-img-5.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:24:03	497050/497050	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20May%202018%2021:02:42%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/gallery/gellary-img-1.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/gallery/gellary-img-1.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:24:09	483036/483036	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20May%202018%2021:02:42%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/gallery/gellary-img-4.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/gallery/gellary-img-4.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:24:09	474580/474580	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20May%202018%2021:02:42%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/gallery/gellary-img-6.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/gallery/gellary-img-6.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:24:11	11011/11011	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2000:01:44%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/blog/author.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/blog/author.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
00:24:13	66276/66276	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2000:01:44%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/blog/blog-2.jpg	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/blog/blog-2.jpg	(from https://codeboxr.net/themedemo/unialumni/html/)
